global,major,smc,commercial,it_spend,employee_count,pc_count,size,tech_support,discount,revenue,tech_discount
1,0,1,0,45537,26,26,152205,0,1,17688.36,0
0,0,1,1,20842,107,70,159038,0,1,14981.44,0
0,0,0,1,82171,10,7,264935,1,1,32917.14,1
0,0,0,0,30288,40,39,77522,1,1,14773.77,1
0,0,1,0,25930,37,43,91446,1,1,17098.7,1
0,0,1,0,34597,44,51,218703,1,0,17280.71,0
1,0,0,0,40199,21,14,126342,0,0,9153.97,0
0,0,1,1,30454,11,8,96784,0,0,5760.08,0
0,0,0,1,23428,50,55,77298,1,1,17265.11,1
0,0,1,1,7970,131,153,77888,1,1,21953.37,1
0,0,0,1,151143,84,58,417289,1,1,50875.56,1
1,0,1,1,30759,169,136,116016,1,0,22153.82,0
0,0,1,1,19899,279,195,66555,0,0,11972.19,0
0,0,1,1,8420,29,26,36973,1,0,10063.86,0
0,0,1,1,34577,20,15,91689,1,0,10522.0,0
0,0,0,1,1294,18,15,11292,0,1,2296.74,0
1,0,1,1,80629,13,9,466694,0,1,41743.72,0
1,0,1,0,144013,119,124,413240,1,1,56307.34,1
1,0,1,1,17143,24,24,49673,0,1,9673.22,0
0,0,1,1,22729,110,110,117138,0,1,15397.71,0
0,0,1,1,28856,34,34,136831,1,1,21267.51,1
0,0,0,0,14057,24,18,67434,0,1,6321.96,0
0,0,1,0,14682,13,16,45908,0,0,2694.22,0
0,0,0,0,8321,82,50,26999,0,0,2531.47,0
0,0,1,0,22051,170,140,56512,0,0,9116.23,0
0,0,1,0,15052,156,154,41571,0,1,12387.82,0
1,0,0,0,21432,106,122,148865,1,1,27860.94,1
0,0,0,0,21232,221,146,84567,0,0,9072.08,0
0,0,1,1,41352,15,11,126934,1,1,19867.57,1
0,0,1,1,12744,10,10,54468,0,0,2868.61,0
0,0,1,0,13980,46,32,58046,0,1,7126.31,0
1,1,0,0,35303,108,136,120173,0,1,20237.79,0
1,0,1,1,10923,26,21,74202,0,1,11610.06,0
0,0,0,1,16662,11,10,110110,1,1,18647.92,1
0,0,0,1,88422,34,27,295436,1,1,37025.89,1
0,0,0,0,3971,41,30,29867,0,0,1038.62,0
0,0,1,0,22692,17,15,133197,1,1,19821.23,1
0,0,1,1,31488,17,10,112661,0,1,13903.72,0
1,1,0,0,45422,45,56,193432,0,0,15182.77,0
0,0,0,1,62739,108,131,250338,1,0,25477.56,0
1,0,1,0,2168,48,47,11009,1,1,13173.24,1
0,1,0,1,20901,85,80,115902,1,0,15864.39,0
1,0,1,1,4857,44,48,16491,0,1,8488.73,0
0,1,0,0,25002,34,22,99114,1,0,13303.02,0
0,0,0,1,23904,32,20,176769,1,0,15658.04,0
0,0,1,0,5972,28,26,16210,0,1,1866.57,0
0,0,0,1,19486,22,22,116783,0,1,11262.23,0
0,0,1,0,16858,63,45,99214,1,1,18338.1,1
0,0,1,1,37432,98,76,272286,1,1,36192.41,1
0,1,0,1,32794,76,47,101073,0,0,8797.22,0
0,0,0,1,21666,13,14,59452,0,0,3346.05,0
0,0,0,1,2272,33,34,13700,0,0,2984.72,0
0,0,0,1,23677,58,65,93466,1,1,18338.74,1
1,0,1,0,7813,15,15,27740,0,0,5350.91,0
0,0,1,1,117098,13,10,535638,1,1,60479.55,1
0,0,0,1,6590,34,24,19900,0,0,3312.64,0
0,0,0,1,17049,61,62,60369,1,0,12021.5,0
0,1,0,0,88501,127,152,417564,1,1,54047.43,1
1,0,1,1,2937,57,68,10629,0,0,8835.05,0
1,1,0,0,28651,30,28,106147,1,1,23904.3,1
0,1,0,1,7587,50,32,69779,1,1,15366.95,1
0,1,0,1,80706,141,175,244713,0,0,18149.14,0
0,0,0,1,4672,33,24,11762,0,1,3087.23,0
0,0,1,0,41677,26,32,205525,0,1,19301.62,0
0,1,0,0,61286,31,36,179022,1,0,18214.02,0
0,0,1,0,157655,15,18,429946,1,0,28356.19,0
0,1,0,1,24376,20,12,165690,0,1,17103.73,0
0,1,0,1,78105,31,28,429628,1,1,52180.49,1
1,1,0,0,10468,13,14,54499,1,1,17418.02,1
0,0,0,1,14156,59,63,40721,0,1,6480.24,0
1,0,1,0,11328,37,37,56684,1,0,14732.57,0
0,0,1,0,9291,27,33,39421,0,1,6212.66,0
0,0,1,0,47794,51,63,310950,1,1,37274.33,1
0,0,1,1,25131,34,35,129251,0,1,13546.97,0
0,0,0,0,17376,78,60,72051,0,1,6934.63,0
0,0,0,1,45245,34,23,242353,0,1,22886.9,0
0,0,1,1,50999,48,59,128288,1,0,16289.17,0
0,0,0,0,2867,20,16,12868,0,0,427.65,0
0,0,1,1,67890,15,13,406365,1,1,47587.3,1
1,1,0,1,160244,98,124,454291,1,1,63162.58,1
1,0,0,1,7278,103,93,43359,0,0,8583.57,0
0,0,1,0,61684,14,11,315315,1,1,37902.3,1
0,0,1,1,23501,101,74,59631,0,0,5172.85,0
0,0,1,1,8771,317,268,27460,1,0,20175.59,0
0,0,1,0,10076,27,29,84398,1,1,13690.74,1
0,1,0,1,6669,33,25,34115,1,1,11546.04,1
0,0,1,1,43708,10,7,126892,1,0,13310.68,0
0,0,1,1,24160,32,25,181818,1,0,15695.08,0
0,0,1,1,22691,57,52,149726,1,1,22908.61,1
0,0,1,1,150289,53,56,377721,1,0,28330.76,0
0,1,0,1,24836,120,92,145100,1,0,17501.1,0
0,0,1,0,66191,84,58,176803,1,1,26121.34,1
1,0,1,0,24416,17,18,102243,1,1,18963.73,1
1,0,0,1,6203,38,47,31973,0,1,8998.93,0
0,0,1,1,3176,17,13,21184,0,1,4208.95,0
1,0,0,0,20620,61,68,64891,0,1,11729.15,0
0,0,1,1,10130,42,45,35605,0,1,5698.07,0
1,0,1,0,2082,23,24,11269,1,0,10750.37,0
1,1,0,1,32247,21,24,86154,0,0,10332.26,0
0,0,0,0,4531,83,84,12688,0,0,5205.64,0
0,0,1,1,54076,64,76,211136,1,1,29938.99,1
0,0,1,1,8030,51,50,22089,0,0,3892.89,0
0,1,0,0,22105,58,48,92998,0,1,10775.65,0
0,0,1,0,2446,70,87,12772,1,1,8732.88,1
0,0,0,1,68678,17,18,235152,1,1,30804.12,1
0,0,1,1,28402,143,164,110430,0,1,18359.92,0
0,0,1,1,33525,86,65,98371,1,1,19446.96,1
1,0,1,1,32296,60,51,134989,0,0,10618.89,0
0,1,0,1,25297,27,24,227115,1,0,20154.22,0
0,0,1,1,10143,31,24,81870,1,0,11441.82,0
0,0,0,0,2517,27,17,21453,1,1,8533.24,1
0,0,1,1,8405,73,52,26417,0,0,3883.2,0
1,0,0,1,71141,28,24,210928,0,0,13785.75,0
0,0,1,1,75907,50,42,208770,0,1,20463.75,0
0,0,0,0,2337,159,183,17870,0,0,7309.38,0
1,1,0,1,16756,35,31,70823,1,0,16577.22,0
0,0,0,1,4359,55,48,30794,1,1,11868.75,1
0,1,0,1,22628,14,16,99704,0,1,11800.72,0
0,1,0,1,52238,14,10,150085,1,0,16800.52,0
0,0,0,1,31620,125,146,108026,0,0,11742.24,0
1,0,1,1,20553,174,178,58863,1,0,20339.33,0
0,0,1,1,46828,21,14,121378,1,1,19690.82,1
0,1,0,1,10302,103,98,36116,0,0,8061.37,0
0,0,0,1,11896,20,12,58290,0,1,7112.37,0
0,0,1,0,27461,88,86,77141,1,1,16303.78,1
1,1,0,1,138371,154,95,391156,1,1,55238.16,1
0,1,0,0,17406,14,8,80062,0,1,8856.09,0
0,0,0,1,6672,175,205,17437,0,0,10980.01,0
0,0,0,1,5733,24,20,15552,0,0,1263.07,0
0,1,0,1,4927,71,68,37194,1,1,14424.33,1
0,0,0,0,7712,113,143,35022,0,1,7429.77,0
0,0,0,1,23011,95,68,61522,1,0,10737.71,0
0,0,1,1,37491,17,18,272112,0,1,23602.46,0
0,0,1,0,6444,22,27,46013,1,1,9932.04,1
0,0,1,1,3984,16,10,15835,0,1,4004.12,0
0,1,0,1,94564,59,69,288104,1,0,24503.26,0
0,0,1,0,43904,23,21,199942,0,1,17650.29,0
1,0,1,1,18953,71,53,68308,0,0,9877.29,0
0,0,1,1,22096,30,34,79186,1,1,15465.93,1
0,0,1,1,8555,31,39,31220,1,0,10514.13,0
0,0,0,0,34368,78,52,118289,1,0,14608.44,0
0,0,1,1,15294,120,75,40569,0,0,5958.76,0
0,1,0,0,34126,69,61,187211,0,1,20432.54,0
0,0,1,0,16562,77,66,85917,1,0,12823.25,0
0,1,0,1,9700,109,141,24838,0,1,12434.59,0
1,0,0,0,70265,34,27,330589,1,1,43556.71,1
0,0,0,1,2040,57,68,12825,1,0,10518.12,0
0,0,0,1,8710,105,68,23341,0,1,7931.26,0
0,1,0,1,12776,90,62,41423,1,1,15312.82,1
0,0,0,1,156713,14,13,677214,1,0,40166.67,0
1,1,0,1,3954,20,12,21408,0,0,8699.63,0
0,0,1,1,38797,19,17,326943,0,0,9399.08,0
0,0,1,1,9867,18,11,27353,0,0,2588.03,0
0,1,0,1,11356,11,13,75715,1,1,16257.94,1
0,0,0,1,18931,145,164,50727,0,1,12850.99,0
1,0,0,1,7671,57,35,21975,1,0,11839.88,0
1,0,1,1,17200,150,110,114140,0,1,18577.31,0
1,0,1,1,60359,20,24,459345,1,1,55748.82,1
0,1,0,1,25135,55,45,131549,0,0,8435.04,0
0,0,1,0,2298,19,12,11375,1,0,8415.24,0
0,0,0,0,48536,37,33,335333,1,1,38288.29,1
0,0,0,1,19084,18,19,55362,0,1,6461.18,0
0,0,1,1,12220,66,57,63430,0,0,6489.25,0
0,0,1,0,33933,60,70,157628,0,0,10567.21,0
0,0,1,1,14702,17,16,123893,0,0,5898.27,0
0,0,0,1,27897,35,25,73351,0,0,3352.08,0
1,0,1,1,52982,22,19,159086,0,1,19184.65,0
0,0,1,1,13605,206,156,62175,1,1,19216.95,1
0,0,1,1,5764,53,43,19948,0,1,5020.08,0
0,1,0,1,2244,27,17,15691,0,0,5593.09,0
1,0,0,1,5038,46,32,17721,0,0,6922.06,0
0,0,0,0,68096,13,11,244989,1,1,28475.95,1
1,1,0,1,4849,50,59,14330,0,1,11182.43,0
